"","TRAF4","CDH1","CDH2","VIM","FN1","ZEB1","ZEB2","SNAI1","SNAI2","SNAI3","TWIST1","TWIST2"
"TCGA.D5.6926.01A.11R.1928.07",-0.155004522914678,0.348878666547789,0.712683616361656,0.758154497828725,1.23233292301533,0.402793310569995,1.13875245315533,0.112798801901415,0.728186366118699,-0.510404106738539,0.692686438607683,1.45504018068688
"TCGA.CM.5868.01A.01R.1653.07",-0.154210004348682,1.59931317488094,0.0356632659669568,0.235000220422891,-0.150840766229322,-0.196716526022223,-0.240721232718938,-0.0669475870439966,0.229361837817727,-0.572893662075756,0.614333883783675,0.186119026788515
"TCGA.A6.5662.01A.01R.1653.07",-0.145820263252257,-0.511428604354075,-0.156901870780585,-0.32964952461713,-0.392016010221764,0.0371508636596959,-0.52980357125519,-0.498649235990547,-0.394832178597862,-0.500261628375245,-0.397222204356267,-0.393233882672832
"TCGA.DM.A288.01A.11R.A16W.07",-0.140395834744475,-0.805029284319294,-0.505306076603562,-0.757583668294258,-0.511300919684835,-0.757704973315021,-0.728719742447389,-0.764631415823253,-0.673327097811913,-0.786931269315377,-0.593171939644073,-0.723879887599833
"TCGA.DM.A28C.01A.11R.A32Y.07",-0.133881606280153,0.0408722853949171,-0.591668736841896,-0.892782924898864,-0.619820977440541,-0.665705551360006,-0.881286799873321,-0.232158666971195,-0.727851817241053,-0.618532161000907,-0.562995617853746,-0.761017572475744
"TCGA.NH.A50T.01A.11R.A28H.07",-0.13245519406022,-1.14086973587676,-0.556561189783337,-0.75733196988613,-0.562630667160056,-0.717271098788445,-0.727970542339801,-1.27931494478066,-0.525685409971307,-0.333836880056142,-0.503211770541626,-0.827009412605942
"TCGA.AA.3675.01A.02R.0905.07",-0.12442024513002,-0.796486297476028,-0.417538973332831,-0.528776664217678,-0.553161138959305,-0.659336175029374,-0.468338722078307,-0.82649973885535,0.0313448426574454,-0.439061775938227,-0.139242397795672,-0.0559962318285232
"TCGA.NH.A5IV.01A.42R.A37K.07",-0.110305112915633,-1.05604321718735,-0.255905694560929,-0.00624020238026053,-0.0366234522064529,-0.53896091148155,0.0941203065041201,-0.583726295679706,-0.652774157933291,-0.121221661200281,-0.454093722097928,-0.765808451084003
"TCGA.AY.6386.01A.21R.1723.07",-0.0884886613941286,1.20507718298513,-0.604268731618299,-0.451486076036835,-0.392252985497339,-0.571968553233875,-0.518587875073639,-0.884617866328807,-0.381535244055797,1.31426543349536,-0.422713776431823,-0.640818448512236
"TCGA.CM.6166.01A.11R.1653.07",-0.0829067210719583,0.250511799547919,-0.236025885774897,-0.526842626043917,2.17475103176217,-0.249558799898894,-0.382830716243818,1.00410518335685,-0.323988734968144,-0.857557098504467,-0.248065519322854,-0.062135592003093
"TCGA.DM.A28E.01A.11R.A32Y.07",-0.0752237236981642,1.30334680183106,-0.619892866291092,-1.01627205835557,-0.682056813744449,-0.779497874071471,-0.890396338414415,-1.0221789568775,-0.843714030284488,-1.02442236262899,-0.68509567223973,-0.864591007562688
"TCGA.DM.A28M.01A.12R.A16W.07",-0.0636270761481049,0.203949754709811,-0.549188451988481,-0.825907770204321,-0.605443780251081,-0.893399857633117,-0.850838310316897,-0.633365767994913,-0.818161655026972,-0.931287768008851,-0.620886566789522,-0.773220911867761
"TCGA.AY.A69D.01A.11R.A37K.07",-0.0591778289907221,0.920096837276257,-0.292087158276589,-0.610305886719001,0.245155993268497,-0.385452444507943,-0.457388066915552,-0.995137493949686,-0.536831779016434,-0.842001052411942,-0.537932670257534,-0.656372052665273
"TCGA.NH.A50U.01A.33R.A37K.07",-0.0488118756441589,-1.2089649412243,0.0770343466498954,-0.295353613860261,-0.344689926500452,-0.472547010786491,-0.391576807447255,-0.450791326647593,-0.208339193374037,-0.375383358668316,-0.514950289052946,-0.649068475486249
"TCGA.D5.6929.01A.31R.1928.07",-0.0389174635273257,0.912160513639611,0.391566068382499,0.664074653416289,0.695457119376409,0.0838932527450533,0.0729343445125117,-0.407955686239389,0.74468132273523,0.895520662220025,1.16945703142694,-0.1714966094647
"TCGA.CM.6679.01A.11R.1839.07",-0.0290631040089211,3.30094292887912,0.581071777720274,0.446759344476649,1.33287098128357,1.10014200938936,0.533288813563627,-0.532178713300332,0.522352867035783,-0.180123401062047,1.57690746149096,0.259213428212077
"TCGA.D5.5539.01A.01R.1653.07",-0.0109956893247491,0.0931294951102206,-0.182887595631247,0.252929080572013,-0.0975725355122807,0.108043313476142,0.517668450549897,-0.273394311973806,0.294649985177629,-0.171233473663555,-0.0772042174111125,-0.235067883305061
"TCGA.A6.6140.01A.11R.1774.07",-0.0106515494453409,1.46169458162957,-0.574127313942298,-0.682413718094143,-0.601050296516038,-0.625176546045898,-0.722478682496855,-0.890233255981312,-0.553139902770939,-1.02805263745918,-0.642242491861681,-0.645810343006157
